County,TotalPopulation,state,county
"Alameda County, California",1663823.0,06,001
"Alpine County, California",1515.0,06,003
"Amador County, California",40577.0,06,005
"Butte County, California",213605.0,06,007
"Calaveras County, California",45674.0,06,009
"Colusa County, California",21811.0,06,011
"Contra Costa County, California",1162648.0,06,013
"Del Norte County, California",27462.0,06,015
"El Dorado County, California",191713.0,06,017
"Fresno County, California",1008280.0,06,019
"Glenn County, California",28657.0,06,021
"Humboldt County, California",136132.0,06,023
"Imperial County, California",179578.0,06,025
"Inyo County, California",18829.0,06,027
"Kern County, California",906883.0,06,029
"Kings County, California",152515.0,06,031
"Lake County, California",68024.0,06,033
"Lassen County, California",31873.0,06,035
"Los Angeles County, California",9936690.0,06,037
"Madera County, California",157243.0,06,039
"Marin County, California",260485.0,06,041
"Mariposa County, California",17130.0,06,043
"Mendocino County, California",91145.0,06,045
"Merced County, California",282290.0,06,047
"Modoc County, California",8651.0,06,049
"Mono County, California",13219.0,06,051
"Monterey County, California",437609.0,06,053
"Napa County, California",137384.0,06,055
"Nevada County, California",102322.0,06,057
"Orange County, California",3175227.0,06,059
"Placer County, California",406608.0,06,061
"Plumas County, California",19650.0,06,063
"Riverside County, California",2429487.0,06,065
"Sacramento County, California",1579211.0,06,067
"San Benito County, California",64753.0,06,069
"San Bernardino County, California",2180563.0,06,071
"San Diego County, California",3289701.0,06,073
"San Francisco County, California",851036.0,06,075
"San Joaquin County, California",779445.0,06,077
"San Luis Obispo County, California",281712.0,06,079
"San Mateo County, California",754250.0,06,081
"Santa Barbara County, California",445213.0,06,083
"Santa Clara County, California",1916831.0,06,085
"Santa Cruz County, California",268571.0,06,087
"Shasta County, California",181852.0,06,089
"Sierra County, California",2916.0,06,091
"Siskiyou County, California",44049.0,06,093
"Solano County, California",450995.0,06,095
"Sonoma County, California",488436.0,06,097
"Stanislaus County, California",552063.0,06,099
"Sutter County, California",99101.0,06,101
"Tehama County, California",65484.0,06,103
"Trinity County, California",15889.0,06,105
"Tulare County, California",473446.0,06,107
"Tuolumne County, California",54993.0,06,109
"Ventura County, California",842009.0,06,111
"Yolo County, California",217141.0,06,113
"Yuba County, California",81705.0,06,115
